mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff Y_syn[1] Y_syn[2]
7.09221851297643 7.27233336880363 7.84333057504066 5.54859602977198 16.8339907052487 -13.2929609383376 -13.2929609383376 14.2657509410525 2.11137040014131 -0.622191022588443 -0.622191022588443 1.20745052476433 0.241424036354397 7.64620710254114 8.25175576479076
7.10811750727287 7.38323854842331 7.84970952005056 5.4746940478376 19.0642049659802 -15.717115729867 -15.717115729867 16.5788538497974 2.49517946137816 -0.7081589181991 -0.7081589181991 1.28314029007817 0.247342457373245 7.93976933067254 8.54408719048942
7.0824836441824 7.44823417224277 7.83350140372576 5.56899568343586 17.9281358194735 -14.4153731124326 -14.4153731124326 15.6060971057618 2.22021131551468 -0.386357115166721 -0.386357115166721 1.28860484755878 0.240858564276747 6.54040952663108 4.92128632148303
7.12518356089326 7.35628770216129 7.89199666809577 5.46521080551515 17.5346169943541 -14.3423214235029 -14.3423214235029 16.0986424011799 2.44851596686245 -0.447429718941662 -0.447429718941662 0.984320372878657 0.24443407603311 7.21291274007817 8.13642565842562
7.07778790103384 7.29315649258583 7.83738629545213 5.48769428714299 16.2981984565341 -13.3033907974671 -13.3033907974671 14.8029457745737 2.43933699323631 -0.483684408892247 -0.483684408892247 1.13851161972422 0.246790685184361 7.92734357467394 8.54847268395009
7.10689002432058 7.38996948238124 7.86982956604482 5.68296696652157 17.4210657838878 -13.7881685004098 -13.7881685004098 14.5218504695074 2.37974471171238 -0.428963603919773 -0.428963603919773 0.926663573997782 0.246896652403266 8.05496296408264 8.84392163008126
7.11928149694575 7.24708240891514 7.87903054931329 5.43968110123191 17.7885909472809 -13.8901715841565 -13.8901715841565 14.9747988746551 2.74249253701841 -0.498140660489879 -0.498140660489879 0.975388787486795 0.251135681790296 6.77376984700022 7.80617397343745
7.06107388059214 7.42545122863034 7.81699215933637 5.57798599342881 17.0025557872521 -13.432826201972 -13.432826201972 14.578511075271 2.36856723501372 -0.400203369039268 -0.400203369039268 1.01774465635118 0.249626412202206 6.95034586641376 7.46458391322875
7.08721487602925 7.37220013990686 7.85322024490792 5.55562146317061 16.9125913565848 -13.7827435420538 -13.7827435420538 15.2965460201259 2.77633779939359 -0.713016145972291 -0.713016145972291 1.28867934527236 0.249675832896568 6.77856666046976 3.75711801264852
7.10866969871753 7.34111104240307 7.86048447454073 5.57644015839697 17.5037174064068 -13.5041901096026 -13.5041901096026 14.1749705935887 2.25010713191298 -0.572916058668298 -0.572916058668298 1.05522776485884 0.250658068547974 6.45374373553067 6.84987467138779
7.13906716358922 7.40532690747251 7.88090975576581 5.60548740989192 15.9064487108269 -12.7609195845957 -12.7609195845957 14.1055827315151 2.54365922580687 -0.549224636714386 -0.549224636714386 1.23567128302627 0.253889779185253 7.07607451792481 7.70470166372121
7.0756786050215 7.32805071830763 7.82827185082613 5.56184990835902 18.3762786670667 -14.2482725910839 -14.2482725910839 15.1731219524973 2.48716515776516 -0.781544559437367 -0.781544559437367 1.17159115209019 0.252240589794717 7.18558003947544 8.2545106345643
7.14019830916131 7.42873069146855 7.89108121161153 5.46245620186241 16.3833792826724 -12.6066462915013 -12.6066462915013 13.48410933793 2.82011664044905 -0.774364811567285 -0.774364811567285 1.37138461156978 0.241978806566565 6.80771376170571 7.87060311445823
7.08355657295401 7.40352555426786 7.8469576249275 5.50105227772153 17.0236627565756 -12.9139007078614 -12.9139007078614 13.7627862506561 2.39932608075474 -0.839961737016049 -0.839961737016049 1.32219018739509 0.2417352049945 7.47675264294591 8.77032451430653
7.09784621769438 7.36823687651348 7.83814807887785 5.34007243102627 18.3615153032433 -13.8067317403364 -13.8067317403364 14.1092901003224 2.52643677556111 -0.552037601097313 -0.552037601097313 1.25363158625199 0.235068057061818 6.92557760064039 7.56583692875631
7.08733060349906 7.4332494500549 7.84833774889593 5.72366052832273 19.5478814771998 -15.2150223571808 -15.2150223571808 15.8963061262048 2.84526376927627 -0.716695575425401 -0.716695575425401 1.17098876453175 0.235832147151852 6.52746788923437 7.57504305547319
7.10253092488452 7.24868307112122 7.86503553264757 5.39826574335432 15.8551492452925 -12.8204814038674 -12.8204814038674 13.8871939339651 2.23470749561072 -0.5814126350387 -0.5814126350387 1.13667828995244 0.239652168691979 7.43995720783524 8.56822426827934
7.1000257893961 7.33525143529996 7.84261811847873 5.48612782962087 17.7756435749479 -13.5833119579828 -13.5833119579828 13.8519886438194 2.37289115646764 -0.471553699762291 -0.471553699762291 1.12993153280226 0.241096355588214 7.46130792087959 8.05985347874228
7.11936508612401 7.40031064756811 7.89035419169359 5.44660858704379 16.865469615754 -13.2890398240276 -13.2890398240276 14.4265813495461 2.43317772396061 -0.592907461203846 -0.592907461203846 1.24949435848984 0.239508609424677 7.40191741337421 8.26004824007879
7.10837180726978 7.43885955406708 7.86113150228046 5.54336203426065 17.4405616498875 -13.7325617793795 -13.7325617793795 14.4613581250879 2.26551948595185 -0.465883726433552 -0.465883726433552 1.2600726109266 0.240779185360084 8.07053310529412 6.30542302613548
7.10913941494864 7.27398964957967 7.87941120688462 5.4102510980374 16.3117427324284 -13.3647439314049 -13.3647439314049 15.0546128400404 2.51815207659557 -0.913009588004605 -0.913009588004605 1.30741166715451 0.242765309735401 6.53639920157309 7.33227518676495
7.07149228105204 7.3784759272728 7.82845761927789 5.42203103788163 18.1996575742308 -14.9927801659507 -14.9927801659507 16.4187125236844 2.27855349114227 -0.662388571559073 -0.662388571559073 1.24945340705144 0.245058135186353 6.87358038301063 7.65021170449185
7.13864125545628 7.37653280020341 7.88745857178691 5.60222232033332 15.9460240157559 -12.8964879568883 -12.8964879568883 14.4989454804405 2.45932770214588 -0.524778820387997 -0.524778820387997 1.30484162804844 0.254949578826436 6.42805737950279 7.77129420453638
7.09022142565582 7.36338922545037 7.84913370342606 5.63844005771124 17.0412219657231 -13.2274840618587 -13.2274840618587 13.9712693890233 2.21221296433135 -0.259149374482839 -0.259149374482839 1.025223058356 0.258545574880956 7.44435658050755 8.01620280202795
7.12915030129037 7.36569784405587 7.8840100769614 5.72817979603473 17.9560758035491 -14.6478467546709 -14.6478467546709 15.5192716500591 2.28978368879073 -0.446652474781762 -0.446652474781762 1.28260070946179 0.256895261812654 6.99969502482922 7.91661438657045
7.09798894769393 7.43183156967671 7.86097109875998 5.68340565455381 16.2286698833967 -13.1338629503905 -13.1338629503905 15.0655287363413 2.23485002037146 -0.34397057752259 -0.34397057752259 1.18570320099513 0.248868148507427 6.93737253203175 8.00862304863316
7.10250829842351 7.38768763072435 7.87041094331416 5.70079019746594 18.4816155697164 -14.570567846257 -14.570567846257 15.3098268116303 2.38052284896701 -0.200295358479219 -0.200295358479219 1.11438367962219 0.247286462386694 7.74315841508903 8.74022244302119
7.10324734405163 7.31477222030775 7.85719257738085 5.62896262313444 16.2023910523846 -13.2572855768787 -13.2572855768787 14.992819442685 2.32382049002469 -0.369066333311191 -0.369066333311191 0.971796209925941 0.241270727552924 7.62259709435623 6.32270201673301
7.07519460052624 7.30324302860994 7.82484941348079 5.48247571830005 16.7998091864809 -12.8917326880693 -12.8917326880693 13.7073162151296 2.24657265135175 -0.597939367987371 -0.597939367987371 1.10511832173774 0.242071233369856 7.90239125463752 5.72110042476849
7.07960366373752 7.25908363304194 7.81908650422339 5.53850701978204 15.5198221841361 -11.9441221571018 -11.9441221571018 12.9254483977707 2.20136626531329 -0.624767442377874 -0.624767442377874 1.32320954647071 0.250836428401707 6.55112223550289 7.39186222108232
7.1084407312376 7.41627673185605 7.87061757389448 5.45987560181613 17.9298195726817 -13.6731474004531 -13.6731474004531 14.5389916076844 2.07842428612473 -0.378460856589975 -0.378460856589975 1.14487731204221 0.252483818007178 6.52895443006597 7.47698708611828
7.14136794393249 7.40072495489057 7.89145357476948 5.58527363551578 17.9798017126656 -14.3728948464568 -14.3728948464568 15.5085662587089 1.89773447806854 -0.386717465849792 -0.386717465849792 1.33791173239529 0.255097499350732 6.94269407708784 7.7709579631359
7.11774384436353 7.27858638342941 7.86904195367105 5.56888985873255 16.9807598322366 -13.4437123231584 -13.4437123231584 14.8003952006683 2.25728096565733 -0.442197634102046 -0.442197634102046 1.26018807453026 0.256486669609282 7.31285502606581 8.16654823487442
7.07628202932958 7.37949316811712 7.82489118534695 5.50445263039435 17.6903681836654 -13.9343657939137 -13.9343657939137 14.7199531563074 2.42571151515676 -0.475354973441569 -0.475354973441569 1.08894809281814 0.258725662246399 7.18275912313121 8.16042932597582
