mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff Y_syn[1] Y_syn[2]
0.743419266503667 1.11728641913405 2.38037108967327 3.03371050240087 82.3217757215438 -30.7428986340729 -30.7428986340729 21.3450546083165 98.0023609226487 -86.5507259485246 -86.5507259485246 108.96657001212 0.680246176745895 0.724517082209561 2.04070067403431
0.755753170389379 1.1245269994902 2.35786489070845 3.04563099496199 73.6534120421232 -30.056126408693 -30.056126408693 24.9215562793301 101.948742082657 -91.4577584615668 -91.4577584615668 117.101961841253 0.69764516803577 0.704302528722423 2.33336332989409
0.741984621038705 1.11875905760499 2.38903289679874 3.02085177869036 85.7300362008427 -29.6029152775595 -29.6029152775595 23.4869322651856 91.8198960823424 -78.5058651224089 -78.5058651224089 98.2992700742558 0.708587695217765 0.901367447328358 2.83143514062246
0.706355415138099 1.13169280179762 2.29122708894242 3.04118697268999 79.7439127042417 -23.6132177617905 -23.6132177617905 19.2482138868438 86.2799699209269 -67.8496921554459 -67.8496921554459 83.1321116749187 0.716207220375814 1.2143499119719 2.98971176908613
0.727539603265592 1.10800301394881 2.32196692045637 3.00226703750929 86.2952807766934 -28.360801796599 -28.360801796599 21.1391696637968 82.135011334959 -60.0590094743171 -60.0590094743171 75.9402869503202 0.695011723246261 1.19264723589172 3.16871932671555
0.731338521231092 1.10471828227482 2.35344200705103 3.01514426996813 84.4055033762989 -27.1346577436312 -27.1346577436312 22.3871097715533 79.5585989694207 -60.6444630328801 -60.6444630328801 73.9289193852112 0.695751608185342 1.17617889557116 3.05427012806801
0.723346514307699 1.10778768248884 2.35389689372284 3.00170758783818 95.5860629832948 -31.8517577363185 -31.8517577363185 20.9925197810189 84.6893928690516 -64.3744373715489 -64.3744373715489 79.4936054426763 0.728790665453039 0.759825504826859 2.44848310168778
0.73917951347153 1.13426564672301 2.38359236975039 3.03512324541122 84.5586255901147 -33.3739272878252 -33.3739272878252 25.056317875037 98.4189944413084 -65.9727324836944 -65.9727324836944 75.632233357932 0.680921398153484 1.18483496891833 3.13483656628871
0.766172482635934 1.11012014527543 2.48045436710585 3.02383328900773 85.1795960436099 -22.9727239885027 -22.9727239885027 14.5844386570485 75.3648915672847 -59.2627450484071 -59.2627450484071 72.7936480262538 0.669128798513819 1.5266333171224 3.3816644855017
0.73955221713841 1.11542256932792 2.43877233318051 3.01696303850359 84.5955697529948 -33.4417644047873 -33.4417644047873 21.5804176104852 104.630071345773 -76.8479447849075 -76.8479447849075 90.1765811246318 0.704780818009701 1.02496903672652 2.97758777986121
0.717846182600744 1.11550636339007 2.35770923427425 3.0257941887314 101.912633800006 -33.4038215491369 -33.4038215491369 19.6493146210465 98.2989586352112 -69.4398989940667 -69.4398989940667 84.8634392252487 0.710773455907046 0.716201191118058 2.7493411616121
0.735208739406681 1.12850591738909 2.38688725804442 3.03543411861386 75.5621102582635 -26.9300215663368 -26.9300215663368 19.5003377476436 93.9446411579079 -77.8417461353917 -77.8417461353917 94.0558766385103 0.716110481807617 1.22686331358512 3.12634811290201
0.776385448992425 1.10737001012849 2.46849711330581 3.0160891446838 70.8601045962502 -29.3009561170737 -29.3009561170737 22.688764046873 97.3028444798766 -74.6447228325635 -74.6447228325635 87.5765045723447 0.701722646625507 0.807402920216141 2.63933719134721
0.749331311022783 1.12947163806103 2.40025959848517 3.04939238338855 71.4127255810941 -29.1200257074708 -29.1200257074708 23.5693354406049 90.4507561543598 -72.6100070065455 -72.6100070065455 90.6981886313899 0.712058023886264 0.8159671667589 2.16990783510501
0.785704732154729 1.10727071476426 2.43403554764019 3.009562929201 72.212775082355 -29.5726463026297 -29.5726463026297 24.1372189786416 94.9254678124544 -73.7272256499217 -73.7272256499217 89.3069593862821 0.710794157461014 1.13430928980491 2.86141833588027
