mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff Y_syn[1] Y_syn[2]
7.93371347019989 7.9342221810707 7.58197312131525 6.96035687422891 41.042241871039 -34.5436674266066 -34.5436674266066 32.0377115812789 4.59976697842818 -2.93246216078509 -2.93246216078509 2.51400440638101 0.148333560156522 8.0393788773938 7.57693222692363
7.93831158989613 8.00986936122644 7.59750958797206 6.95377255594252 45.3752839196859 -38.2717360025259 -38.2717360025259 35.7483319004701 5.51752733601588 -2.88065072551687 -2.88065072551687 2.36651781816356 0.143608811595077 7.20257056246556 6.69789073792625
7.94916290164675 8.15319884985134 7.60716973526844 7.25656773201083 39.7225012981902 -32.6259851496667 -32.6259851496667 29.3122046658104 5.07074084464405 -2.77615476161657 -2.77615476161657 2.67305836028524 0.126213062104325 7.9843095925189 7.78621491033101
7.90198445718211 7.94529383004273 7.54380407027548 7.12209227087376 45.8322414844504 -37.2005369210691 -37.2005369210691 33.0437871331299 6.16885551939695 -3.09956874720778 -3.09956874720778 2.96617236191964 0.137595838547475 7.10883819693741 6.14990126103722
7.95646741515178 7.96003380440737 7.59188810758989 7.06144962713285 41.7922464269824 -35.3840221548981 -35.3840221548981 32.7996999871789 3.88565807335654 -2.12226367220937 -2.12226367220937 2.45529156753391 0.127762600777671 7.86656414116055 6.66755745620091
7.93537025841929 7.88555643071677 7.5764123397819 6.9269966565769 44.7925256872021 -39.2439038595708 -39.2439038595708 37.0726758766881 4.89917884997527 -3.13366491364555 -3.13366491364555 3.16981394049488 0.113456210452451 7.64682705843807 7.24414849101042
7.97276596389992 7.73018363229158 7.61457264840147 6.87796691583423 41.5701557791137 -35.1397688625004 -35.1397688625004 32.4465946108181 2.29624536972956 -0.98160284085241 -0.98160284085241 1.41461761087022 0.126238338818569 7.56410558306724 7.02606091073065
7.9329321163907 7.93067256934032 7.57897447209219 7.24681458671695 38.2651297403255 -30.8234762582979 -30.8234762582979 27.8981380898312 5.99909221421703 -3.86481750517452 -3.86481750517452 3.43926281207458 0.115602651041732 9.00451906042403 7.54760883449706
7.91782355705688 8.15726351159032 7.55586159927932 7.1526866330367 37.529937863035 -29.7237125882494 -29.7237125882494 26.0791176767844 5.33518857611155 -2.86767926299399 -2.86767926299399 2.99881784970144 0.113415179976696 7.36646895749554 6.7846196241983
7.93031468412274 8.09197698882404 7.58150234464793 7.19862719221905 43.746900240938 -37.2869274161105 -37.2869274161105 34.376551729973 5.75168098816942 -2.60721412245798 -2.60721412245798 2.46837837500142 0.0793718311826287 8.6698742953995 8.43673625438922
7.92266410374627 8.07218964118775 7.57237700063001 7.15199163854648 41.9086466063462 -35.4483806872211 -35.4483806872211 32.9165079020478 5.10490288291801 -2.50424743973159 -2.50424743973159 2.77213690737078 0.0887070945111832 7.54529355158148 6.97911335256009
7.91794882954038 7.97200674820759 7.56526269786067 7.15424788565548 34.7558997748343 -28.8804780078448 -28.8804780078448 26.5788623102723 5.25956511595293 -3.04124701863054 -3.04124701863054 3.11668352130893 0.0753874200818856 8.36187277524046 8.18035071327784
7.98701120496658 7.89388607642499 7.64389040550756 7.01955078193549 33.3414756047459 -27.4078731699 -27.4078731699 25.2369782391066 4.2496358957456 -2.03457630977968 -2.03457630977968 1.74518148653457 0.122361375208078 9.03297000161502 8.73489956874245
7.94919241337081 7.86795503704742 7.58644264361106 7.07925918778193 34.2789656799661 -28.0086020788757 -28.0086020788757 25.5754195719077 4.52529400339276 -2.62747464005085 -2.62747464005085 3.12426939103429 0.119835503931563 7.51402849991177 6.87698510486129
7.96832175279956 7.88077446449754 7.5957837205577 6.76688229821228 37.4104297623414 -30.7201084392759 -30.7201084392759 27.8670513711214 3.68762248533265 -1.84790357736053 -1.84790357736053 2.15743022827582 0.110248781095301 7.39898850566065 7.08324895625896
7.96766322687618 7.87791579614434 7.61519780643985 7.01086600401288 34.2553684521707 -28.364148100011 -28.364148100011 26.2448955241631 4.66542504469833 -2.03081481754298 -2.03081481754298 2.23158380859234 0.0861562896773556 7.69067480978696 7.50332706667491
7.91556745890636 7.86080531121236 7.55194895844869 6.89454563841426 35.9561531717877 -29.7427044052609 -29.7427044052609 27.1404863407177 3.84985128530489 -2.09641309597848 -2.09641309597848 2.17802811559407 0.0854361797310186 7.88178060348806 7.66341971790189
