mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff predOne[1] predOne[2] predTwo[1] predTwo[2]
0.570118658777499 0.728966056548906 0.968714746170471 0.484386390637558 93.0795061260782 -56.8000852238213 -56.8000852238213 39.3305378090187 5.73252363170763 -4.53899170680356 -4.53899170680356 3.96819295599809 0.00353706897340411 0.506211688444761 0.696709085617913 -0.842971604569188 -1.23532110675151
0.565020375215269 0.666414642247265 0.944650365321332 0.396222162737053 92.5590820383693 -58.3088546393679 -58.3088546393679 41.446219791664 10.8805235434746 -1.64225932484176 -1.64225932484176 5.23892981373476 0.0290116019365499 1.14102130491838 1.86168116659551 0.443363702841263 -0.353931980778389
0.568250083270928 0.643397015704041 0.962187701957384 0.356224024421388 90.7816885912641 -58.2149037060863 -58.2149037060863 42.3835387665816 10.9702091277184 -1.03248335692526 -1.03248335692526 5.6024481522131 0.0454897201669228 0.24562993370949 0.638924083836001 0.955123121725025 0.422543459253487
0.581032027480429 0.617478675945548 0.969353272581623 0.330571901609347 92.6522698731061 -57.9463455152491 -57.9463455152491 41.0227886647446 11.0108890007454 -1.22105267539827 -1.22105267539827 7.15409377745983 0.0800261517843928 0.597872212216298 0.951573673812891 0.75696179194629 -0.203180900667199
0.607359349361797 0.647790127386483 1.01785745628065 0.295588319559595 88.2808198536474 -55.5389544717917 -55.5389544717917 39.7097339203228 10.5619770308658 -1.398730136619 -1.398730136619 8.82209370494389 0.137792123301252 0.171804107973401 0.142514080930132 0.711496560133026 0.36235440444595
0.615122408069546 0.640036073162264 1.00796777638649 0.254404122465265 93.0024606301549 -59.3773847303098 -59.3773847303098 42.5821675293935 10.3178373416071 -0.978769906429609 -0.978769906429609 12.0027817093523 0.172621009134558 0.634532904340371 0.870950513330781 0.383108669600556 0.202036886840171
0.590443336136487 0.610918653553592 0.980823910997971 0.234152181021861 90.6982103240206 -57.2634899821042 -57.2634899821042 41.4594097709181 10.1232331205809 -0.283787205599361 -0.283787205599361 16.931916404854 0.221456958167399 0.631351075445509 0.915376668193179 0.422331117840883 0.0743844916637649
0.59313909148451 0.646747525577538 0.978063482226954 0.192368137877606 82.5889468037771 -51.6616963553504 -51.6616963553504 37.7891301678551 8.98039206759823 0.369962884808975 0.369962884808975 22.6146001863915 0.21728663525108 0.754254918450781 1.06793715759665 0.675080296751089 -0.132195102058135
0.57187905595326 0.639782188749166 0.940506413953272 0.200011286320699 81.1223463752116 -50.6969337222219 -50.6969337222219 36.7291084272579 9.68680621139939 0.0832904618348981 0.0832904618348981 29.4536748748248 0.239178968579479 0.59812594392667 1.06342498510113 0.758646274559985 0.284342926791305
0.575707135050535 0.651332773342972 0.955614396146312 0.180009159896824 81.8209913007464 -50.7727469815162 -50.7727469815162 36.7619876500785 9.32629648521698 -0.241566987675808 -0.241566987675808 31.3834168116793 0.237119758421478 0.611396098131092 1.18180979405521 0.69363374087663 0.0484051004669603
