mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff predOne[1] predOne[2] predTwo[1] predTwo[2]
0.581283481259631 1.4374575559588 0.995587967686349 0.672686967256843 83.5163880589162 -50.6025116025393 -50.6025116025393 35.0438845563242 15.9122482502321 -6.32566951310882 -6.32566951310882 2.92955363642145 0.000841186890925778 0.971170222279736 1.6535054185263 1.6197084283463 2.18983380557699
0.587857629020595 1.44620373206907 1.00320444363098 0.57311457770044 80.9867759067562 -48.7515790722184 -48.7515790722184 33.7795485545182 20.5947543841601 -24.4116988374334 -24.4116988374334 56.5444063422352 0.00440842222661923 0.352895275553672 0.891605684927974 1.76045797265083 0.914211420801147
0.596479388275268 1.42362931653359 1.01101363206201 0.570813912107216 82.0628067035875 -50.8628561783613 -50.8628561783613 36.0642361777592 37.4394688125861 -60.2588518656273 -60.2588518656273 134.201694773352 8.2592224314085e-05 0.954285734679942 1.842618019843 0.996076342893426 0.442721873580726
0.591324918506935 1.41548729795647 1.01511855295444 0.578497245897082 85.2165730465442 -51.3713839050683 -51.3713839050683 35.2709996511793 38.2681905288314 -58.7143335946074 -58.7143335946074 124.423915226924 0.00119198852392228 0.526652301209867 0.970933641379093 0.989477829974784 0.454353078741515
0.567350752903984 1.42560785519805 0.974560144259443 0.569550131960758 78.2808434251259 -48.2743682620362 -48.2743682620362 34.4271482512774 35.1963414090168 -56.7022978439461 -56.7022978439461 126.248826373938 0.000616324952027773 0.567077895778965 0.82841956695793 1.30475398677799 0.554868828409569
0.551373444882832 1.45677425249146 0.956679236271629 0.58539665099826 82.5677466627668 -49.1097063456277 -49.1097063456277 34.3307644589769 32.6434557144784 -56.8400032236339 -56.8400032236339 127.564802626958 0.00182425590517543 0.484317532388405 1.05556734754223 1.17247514717546 0.331463986876303
0.569052813234731 1.44599058215613 0.977363073977432 0.581466023884108 89.5717395869428 -55.6959541124855 -55.6959541124855 38.9170561149583 37.450784572467 -59.0959110586501 -59.0959110586501 126.663556306614 0.00443841809424559 0.0639756114604585 0.33669107920142 1.88265388511476 0.762395912535918
0.566002064615266 1.45069902919243 0.976204321045839 0.59461976646978 81.1290041398406 -50.693181124887 -50.693181124887 36.3252488028338 36.285583301535 -59.6411112186854 -59.6411112186854 132.930264782814 0.000525052024583653 0.584961093780239 0.928063078114261 1.35816580190767 0.483177371488904
0.55467939368009 1.38947108803861 0.957651790296339 0.563801731921928 77.6168138634662 -47.7431155039449 -47.7431155039449 33.9750742393155 30.4936503792742 -51.3601484287536 -51.3601484287536 116.179048959515 0.00991765109540656 0.604629017690487 1.26050022511261 1.42007484595094 0.323496672797427
0.554514083414569 1.42996870007887 0.943021700589657 0.579519749307626 81.0310761125551 -50.7170841674319 -50.7170841674319 36.2996021950469 37.6400299544778 -59.0441150706706 -59.0441150706706 123.359125565914 0.000869679055083641 0.240838616307316 0.687983752166524 1.83500488471515 0.660556073466165
