mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff Y_syn[1] Y_syn[2]
7.67083762778062 7.85465101745168 8.12814487722028 5.5682929222125 19.1889814538223 -16.8838190307142 -16.8838190307142 18.1583955956323 1.95651524339163 -0.0712670570189142 -0.0712670570189142 0.702590253774434 0.217253786674615 7.50104265189766 8.37857905656401
7.66904916968723 7.84732991580675 8.12051411606066 5.4281322943141 21.0762239123809 -17.6290014601639 -17.6290014601639 18.1448408487664 1.67545541108948 -0.201457135572113 -0.201457135572113 0.498081649058973 0.211004715018534 8.44357491488269 6.92905414470846
7.70317378072142 7.91314452886817 8.14025053695188 5.66837897121658 18.6172750371512 -16.5211611897898 -16.5211611897898 17.9950552955019 1.37940631853315 -0.0449801543119133 -0.0449801543119133 0.691514561725602 0.216126888816778 7.82313463642079 8.37924421040901
7.72500630355364 7.75662230806908 8.17518162317145 5.59217949424722 16.5253740896914 -14.397687748788 -14.397687748788 16.1326144883832 1.90293297665865 -0.363271628178242 -0.363271628178242 0.65422631200721 0.221053592065903 7.82454871762732 8.24227993964597
7.7080435106614 7.75398969263835 8.15217186246925 5.55994867967298 20.3656816193957 -18.111653295166 -18.111653295166 19.491692639187 1.73603736479564 -0.187322069224871 -0.187322069224871 0.664198631008704 0.225554298545374 7.28092120389067 7.85374756285794
7.72921749856178 7.9212590918786 8.15283883837553 5.65787572380623 20.2788219673544 -17.7370597053151 -17.7370597053151 19.0094741336813 1.91756693523934 -0.276198699455967 -0.276198699455967 0.592250019903151 0.217708002908294 7.67163098076594 7.93776765536639
7.67800663191058 8.03950135367379 8.1386228805328 5.65715622970564 20.2923666378897 -17.6138424874384 -17.6138424874384 18.3804059297211 1.88950087032561 -0.249278730948456 -0.249278730948456 0.643384632322566 0.225982577973826 8.90460443617233 9.24023592263589
7.74067137839644 7.93547597374834 8.19108575177618 5.5856026070989 21.5116089336424 -18.9110534970118 -18.9110534970118 19.4784255045265 2.04100050980723 -0.30932252268042 -0.30932252268042 0.680019782518191 0.233464139133416 6.92101886507155 7.10989864926881
7.69112461274367 7.89037922555424 8.16998822120762 5.91765526426227 18.1876374629157 -15.6102957862778 -15.6102957862778 16.3420108266897 1.85973301690447 -0.13364040072176 -0.13364040072176 0.771248976376227 0.247593107176912 6.80835295943992 7.24829374501987
7.67840114278621 7.91296523340597 8.12397338181116 5.47796663108869 20.1207071017708 -17.2003701782509 -17.2003701782509 18.2214209725464 1.68053636800582 -0.0410470228110436 -0.0410470228110436 0.534468567157372 0.248110431331208 7.66922327542584 8.07631449375806
7.68633739255299 7.82353567690687 8.15011706316044 5.72902397395473 20.8362893818196 -18.2038970782557 -18.2038970782557 19.2023627448493 2.32362068839236 -0.246351095467098 -0.246351095467098 0.569141806637658 0.237767152174826 8.31183070862153 8.71263812707442
7.69317278911029 7.86859551521412 8.13858284923768 5.91560007315025 17.7142768269554 -15.718748059345 -15.718748059345 17.3769972798248 2.05023769502121 -0.0555697641028762 -0.0555697641028762 0.58212021394297 0.201141350761086 7.43609532410778 7.57371749960604
7.66953427256689 7.98642376584626 8.10974173907829 5.62863008967273 19.1354231967412 -16.499388153044 -16.499388153044 17.1994159369829 2.185518541926 -0.254003495057946 -0.254003495057946 0.645370573647334 0.198292967485412 8.28097997530821 8.70328570792215
7.66646462722123 8.08669090977738 8.10260617298616 5.7680083816984 20.3982231191883 -18.0070350551079 -18.0070350551079 18.8246845851667 2.14613094490976 -0.557546950896065 -0.557546950896065 0.765842759622312 0.196913717506286 6.49802576153443 6.93587146427313
7.75343959243568 7.90254843149213 8.18891397502838 5.33070164434865 20.0536663267059 -17.6553781851937 -17.6553781851937 18.3776227769673 1.96948033522959 -0.333405817035715 -0.333405817035715 0.596533921971437 0.25480703989598 6.25718677643086 5.09774789833202
7.74715053437071 7.83709882862331 8.15569255847902 5.66203978375037 16.1920296678298 -13.6402963826136 -13.6402963826136 14.7567445335727 2.21568098923865 -0.275722488460147 -0.275722488460147 0.621227571212869 0.228983475639752 7.60621191785328 8.1761018606391
7.71171104122064 7.85015756771749 8.16047601066886 5.59866658881817 17.6668406502764 -15.4854896032909 -15.4854896032909 16.5864523068419 1.6652134493639 -0.0115074449846551 -0.0115074449846551 0.628862853127897 0.222040208204503 8.01764577919343 5.0711091798108
7.65957445277101 7.86596787307631 8.08873886961868 5.59279943088565 20.0884438473005 -16.3680437598356 -16.3680437598356 16.7640875585603 2.58036101794646 -0.514992407705879 -0.514992407705879 0.564034906958706 0.205395850934095 7.50779141455832 7.27818641230573
7.69439681352323 7.79704107286081 8.12118683849159 5.65240635237138 17.9994973379887 -15.7365543196628 -15.7365543196628 17.1604512779689 2.66349293864856 -0.500835610997965 -0.500835610997965 0.620805570142488 0.240511325532273 7.53267109351106 7.71858441011356
